               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0074596,            0.003989,            0.017857,             0.93608,             0.94822,             0.98138,             0.97091,           0.0029178,           0.0033548,            0.002503,            0.003268,            0.003268,            0.003268
                  36,           0.0068565,           0.0038397,            0.017114,              0.9648,             0.93506,             0.98266,             0.95075,           0.0029921,           0.0034507,           0.0023219,             0.00307,             0.00307,             0.00307
                  37,           0.0066656,           0.0037495,            0.017609,             0.94554,             0.92772,             0.98515,             0.97346,              0.0032,           0.0035757,           0.0025617,            0.002872,            0.002872,            0.002872
                  38,           0.0064129,           0.0037343,            0.017069,             0.95693,             0.95567,             0.98473,             0.94206,           0.0031473,           0.0037044,           0.0022769,            0.002674,            0.002674,            0.002674
                  39,           0.0062713,           0.0035546,            0.016263,             0.96073,             0.94937,             0.98352,             0.96362,           0.0030587,           0.0031088,           0.0022841,            0.002476,            0.002476,            0.002476
                  40,           0.0058096,           0.0033606,            0.018195,             0.96327,             0.96278,             0.98528,             0.96832,           0.0028526,           0.0038804,           0.0019904,            0.002278,            0.002278,            0.002278
                  41,           0.0057943,           0.0033929,            0.016152,             0.96697,             0.96127,             0.98665,             0.94868,           0.0033951,           0.0033215,           0.0019774,             0.00208,             0.00208,             0.00208
                  42,           0.0055719,           0.0033012,            0.016989,             0.94747,             0.97676,             0.98663,             0.97349,           0.0028258,           0.0031018,            0.001941,            0.001882,            0.001882,            0.001882
                  43,           0.0052029,           0.0031869,            0.015584,               0.951,             0.96643,             0.98768,             0.97725,           0.0025576,           0.0034546,           0.0019002,            0.001684,            0.001684,            0.001684
                  44,           0.0049824,           0.0031801,             0.01524,             0.97824,              0.9733,             0.98959,             0.97864,           0.0029171,           0.0035103,           0.0016081,            0.001486,            0.001486,            0.001486
                  45,           0.0047268,           0.0030221,            0.014891,             0.97197,             0.96725,             0.98935,             0.97657,           0.0029132,           0.0036966,           0.0017325,            0.001288,            0.001288,            0.001288
                  46,           0.0043982,           0.0029022,            0.015088,             0.98105,             0.97235,             0.99012,             0.98031,           0.0027944,           0.0037104,           0.0015105,             0.00109,             0.00109,             0.00109
                  47,           0.0044146,           0.0028476,            0.014838,             0.97528,             0.97304,             0.98947,             0.97488,            0.002823,            0.003441,           0.0016224,            0.000892,            0.000892,            0.000892
                  48,           0.0040656,           0.0027393,            0.014702,             0.97419,             0.97842,             0.99094,             0.97717,             0.00277,           0.0034845,           0.0013946,            0.000694,            0.000694,            0.000694
                  49,           0.0038054,           0.0026898,            0.013837,              0.9826,             0.96872,             0.99064,             0.98008,            0.002739,           0.0035301,           0.0013871,            0.000496,            0.000496,            0.000496
